Sample,ExtractionDate,Population,Family,Experiment,Treatment,bites,zigzags
298,8/12/20,White,CL19-F1J-A-3,Aggression Trade-offs,M,8,151
299,8/12/20,White,CL19-F1J-A-2,Aggression Trade-offs,F,5,177
302,8/13/20,White,CL19-F1G-A-2,Aggression Trade-offs,MF,59,55
303,8/13/20,White,CL19-F1C-A-3,Aggression Trade-offs,C,1,0
304,8/13/20,White,CL19-F1J-A-1,Aggression Trade-offs,C,0,25
306,8/14/20,White,CL19-F1C-A-2,Aggression Trade-offs,MF,98,74
307,8/14/20,White,CL19-F1H-A-1,Aggression Trade-offs,C,3,0
308,8/14/20,White,CL19-F1K-A-2,Aggression Trade-offs,C,3,13
317,8/23/20,White,CL19-F1C-A-4,Aggression Trade-offs,M,27,86
318,8/23/20,White,CL19-F1K-A-5,Aggression Trade-offs,M,78,3
319,8/23/20,White,CL19-F1J-A-4,Aggression Trade-offs,F,14,191
320,8/23/20,White,CL19-F1K-A-4,Aggression Trade-offs,F,11,184
321,8/23/20,White,CL19-F1J-A-5,Aggression Trade-offs,MF,73,57
322,8/24/20,White,CL19-F1C-A-5,Aggression Trade-offs,M,84,75
323,8/24/20,White,CL19-F1D-A-2,Aggression Trade-offs,MF,77,86
329,8/31/20,White,CL19-F1K-A-6,Aggression Trade-offs,F,27,202
330,8/31/20,White,CL19-F1C-A-6,Aggression Trade-offs,M,103,62